Codigo;Rep;AcAcetico;Etanol
M1;1;5;0.5
M1;2;5;0.5
M1;3;5;0.5
M2;1;5.25;0.5
M2;2;5.25;0.5
M2;3;5.25;0.5
M3;1;5.5;0.5
M3;2;5.5;0.5
M3;3;5.5;0.5
M4;1;5.75;0.5
M4;2;5.75;0.5
M4;3;5.75;0.5
M5;1;6;0.5
M5;2;6;0.5
M5;3;6;0.5
M6;1;5;0.625
M6;2;5;0.625
M6;3;5;0.625
M7;1;5.25;0.625
M7;2;5.25;0.625
M7;3;5.25;0.625
M8;1;5.5;0.625
M8;2;5.5;0.625
M8;3;5.5;0.625
M9;1;5.75;0.625
M9;2;5.75;0.625
M9;3;5.75;0.625
M10;1;6;0.625
M10;2;6;0.625
M10;3;6;0.625
M11;1;5;0.75
M11;2;5;0.75
M11;3;5;0.75
M12;1;5.25;0.75
M12;2;5.25;0.75
M12;3;5.25;0.75
M13;1;5.5;0.75
M13;2;5.5;0.75
M13;3;5.5;0.75
M14;1;5.75;0.75
M14;2;5.75;0.75
M14;3;5.75;0.75
M15;1;6;0.75
M15;2;6;0.75
M15;3;6;0.75
M16;1;5;0.875
M16;2;5;0.875
M16;3;5;0.875
M17;1;5.25;0.875
M17;2;5.25;0.875
M17;3;5.25;0.875
M18;1;5.5;0.875
M18;2;5.5;0.875
M18;3;5.5;0.875
M19;1;5.75;0.875
M19;2;5.75;0.875
M19;3;5.75;0.875
M20;1;6;0.875
M20;2;6;0.875
M20;3;6;0.875
M21;1;5;1
M21;2;5;1
M21;3;5;1
M22;1;5.25;1
M22;2;5.25;1
M22;3;5.25;1
M23;1;5.5;1
M23;2;5.5;1
M23;3;5.5;1
M24;1;5.75;1
M24;2;5.75;1
M24;3;5.75;1
M25;1;6;1
M25;2;6;1
M25;3;6;1
